FRB,true_re_pix,true_inc,true_n,true_pa,true_q,flux_path,sigma_path
MOCK_0030,3,90,1.0,45.0,0.2,tools/simulation/mock_data\MOCK_0030_flux.fits,tools/simulation/mock_data\MOCK_0030_sigma.fits
MOCK_0031,3,90,1.5,45.0,0.2,tools/simulation/mock_data\MOCK_0031_flux.fits,tools/simulation/mock_data\MOCK_0031_sigma.fits
MOCK_0032,3,90,2.0,45.0,0.2,tools/simulation/mock_data\MOCK_0032_flux.fits,tools/simulation/mock_data\MOCK_0032_sigma.fits
MOCK_0033,3,90,2.5,45.0,0.2,tools/simulation/mock_data\MOCK_0033_flux.fits,tools/simulation/mock_data\MOCK_0033_sigma.fits
MOCK_0034,3,90,3.0,45.0,0.2,tools/simulation/mock_data\MOCK_0034_flux.fits,tools/simulation/mock_data\MOCK_0034_sigma.fits
MOCK_0035,5,5,1.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0035_flux.fits,tools/simulation/mock_data\MOCK_0035_sigma.fits
MOCK_0036,5,5,1.5,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0036_flux.fits,tools/simulation/mock_data\MOCK_0036_sigma.fits
MOCK_0037,5,5,2.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0037_flux.fits,tools/simulation/mock_data\MOCK_0037_sigma.fits
MOCK_0038,5,5,2.5,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0038_flux.fits,tools/simulation/mock_data\MOCK_0038_sigma.fits
MOCK_0039,5,5,3.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0039_flux.fits,tools/simulation/mock_data\MOCK_0039_sigma.fits
MOCK_0040,5,15,1.0,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0040_flux.fits,tools/simulation/mock_data\MOCK_0040_sigma.fits
MOCK_0041,5,15,1.5,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0041_flux.fits,tools/simulation/mock_data\MOCK_0041_sigma.fits
MOCK_0042,5,15,2.0,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0042_flux.fits,tools/simulation/mock_data\MOCK_0042_sigma.fits
MOCK_0043,5,15,2.5,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0043_flux.fits,tools/simulation/mock_data\MOCK_0043_sigma.fits
MOCK_0044,5,15,3.0,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0044_flux.fits,tools/simulation/mock_data\MOCK_0044_sigma.fits
MOCK_0045,5,30,1.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0045_flux.fits,tools/simulation/mock_data\MOCK_0045_sigma.fits
MOCK_0046,5,30,1.5,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0046_flux.fits,tools/simulation/mock_data\MOCK_0046_sigma.fits
MOCK_0047,5,30,2.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0047_flux.fits,tools/simulation/mock_data\MOCK_0047_sigma.fits
MOCK_0048,5,30,2.5,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0048_flux.fits,tools/simulation/mock_data\MOCK_0048_sigma.fits
MOCK_0049,5,30,3.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0049_flux.fits,tools/simulation/mock_data\MOCK_0049_sigma.fits
MOCK_0050,5,45,1.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0050_flux.fits,tools/simulation/mock_data\MOCK_0050_sigma.fits
MOCK_0051,5,45,1.5,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0051_flux.fits,tools/simulation/mock_data\MOCK_0051_sigma.fits
MOCK_0052,5,45,2.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0052_flux.fits,tools/simulation/mock_data\MOCK_0052_sigma.fits
MOCK_0053,5,45,2.5,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0053_flux.fits,tools/simulation/mock_data\MOCK_0053_sigma.fits
MOCK_0054,5,45,3.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0054_flux.fits,tools/simulation/mock_data\MOCK_0054_sigma.fits
MOCK_0055,5,60,1.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0055_flux.fits,tools/simulation/mock_data\MOCK_0055_sigma.fits
MOCK_0056,5,60,1.5,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0056_flux.fits,tools/simulation/mock_data\MOCK_0056_sigma.fits
MOCK_0057,5,60,2.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0057_flux.fits,tools/simulation/mock_data\MOCK_0057_sigma.fits
MOCK_0058,5,60,2.5,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0058_flux.fits,tools/simulation/mock_data\MOCK_0058_sigma.fits
MOCK_0059,5,60,3.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0059_flux.fits,tools/simulation/mock_data\MOCK_0059_sigma.fits
MOCK_0060,5,80,1.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0060_flux.fits,tools/simulation/mock_data\MOCK_0060_sigma.fits
MOCK_0061,5,80,1.5,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0061_flux.fits,tools/simulation/mock_data\MOCK_0061_sigma.fits
MOCK_0062,5,80,2.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0062_flux.fits,tools/simulation/mock_data\MOCK_0062_sigma.fits
MOCK_0063,5,80,2.5,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0063_flux.fits,tools/simulation/mock_data\MOCK_0063_sigma.fits
MOCK_0064,5,80,3.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0064_flux.fits,tools/simulation/mock_data\MOCK_0064_sigma.fits
MOCK_0065,5,90,1.0,45.0,0.2,tools/simulation/mock_data\MOCK_0065_flux.fits,tools/simulation/mock_data\MOCK_0065_sigma.fits
MOCK_0066,5,90,1.5,45.0,0.2,tools/simulation/mock_data\MOCK_0066_flux.fits,tools/simulation/mock_data\MOCK_0066_sigma.fits
MOCK_0067,5,90,2.0,45.0,0.2,tools/simulation/mock_data\MOCK_0067_flux.fits,tools/simulation/mock_data\MOCK_0067_sigma.fits
MOCK_0068,5,90,2.5,45.0,0.2,tools/simulation/mock_data\MOCK_0068_flux.fits,tools/simulation/mock_data\MOCK_0068_sigma.fits
MOCK_0069,5,90,3.0,45.0,0.2,tools/simulation/mock_data\MOCK_0069_flux.fits,tools/simulation/mock_data\MOCK_0069_sigma.fits
MOCK_0070,12,5,1.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0070_flux.fits,tools/simulation/mock_data\MOCK_0070_sigma.fits
MOCK_0071,12,5,1.5,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0071_flux.fits,tools/simulation/mock_data\MOCK_0071_sigma.fits
MOCK_0072,12,5,2.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0072_flux.fits,tools/simulation/mock_data\MOCK_0072_sigma.fits
MOCK_0073,12,5,2.5,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0073_flux.fits,tools/simulation/mock_data\MOCK_0073_sigma.fits
MOCK_0074,12,5,3.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0074_flux.fits,tools/simulation/mock_data\MOCK_0074_sigma.fits
MOCK_0075,12,15,1.0,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0075_flux.fits,tools/simulation/mock_data\MOCK_0075_sigma.fits
MOCK_0076,12,15,1.5,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0076_flux.fits,tools/simulation/mock_data\MOCK_0076_sigma.fits
MOCK_0077,12,15,2.0,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0077_flux.fits,tools/simulation/mock_data\MOCK_0077_sigma.fits
MOCK_0078,12,15,2.5,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0078_flux.fits,tools/simulation/mock_data\MOCK_0078_sigma.fits
MOCK_0079,12,15,3.0,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0079_flux.fits,tools/simulation/mock_data\MOCK_0079_sigma.fits
MOCK_0080,12,30,1.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0080_flux.fits,tools/simulation/mock_data\MOCK_0080_sigma.fits
MOCK_0081,12,30,1.5,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0081_flux.fits,tools/simulation/mock_data\MOCK_0081_sigma.fits
MOCK_0082,12,30,2.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0082_flux.fits,tools/simulation/mock_data\MOCK_0082_sigma.fits
MOCK_0083,12,30,2.5,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0083_flux.fits,tools/simulation/mock_data\MOCK_0083_sigma.fits
MOCK_0084,12,30,3.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0084_flux.fits,tools/simulation/mock_data\MOCK_0084_sigma.fits
MOCK_0085,12,45,1.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0085_flux.fits,tools/simulation/mock_data\MOCK_0085_sigma.fits
MOCK_0086,12,45,1.5,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0086_flux.fits,tools/simulation/mock_data\MOCK_0086_sigma.fits
MOCK_0087,12,45,2.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0087_flux.fits,tools/simulation/mock_data\MOCK_0087_sigma.fits
MOCK_0088,12,45,2.5,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0088_flux.fits,tools/simulation/mock_data\MOCK_0088_sigma.fits
MOCK_0089,12,45,3.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0089_flux.fits,tools/simulation/mock_data\MOCK_0089_sigma.fits
MOCK_0090,12,60,1.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0090_flux.fits,tools/simulation/mock_data\MOCK_0090_sigma.fits
MOCK_0091,12,60,1.5,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0091_flux.fits,tools/simulation/mock_data\MOCK_0091_sigma.fits
MOCK_0092,12,60,2.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0092_flux.fits,tools/simulation/mock_data\MOCK_0092_sigma.fits
MOCK_0093,12,60,2.5,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0093_flux.fits,tools/simulation/mock_data\MOCK_0093_sigma.fits
MOCK_0094,12,60,3.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0094_flux.fits,tools/simulation/mock_data\MOCK_0094_sigma.fits
MOCK_0095,12,80,1.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0095_flux.fits,tools/simulation/mock_data\MOCK_0095_sigma.fits
MOCK_0096,12,80,1.5,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0096_flux.fits,tools/simulation/mock_data\MOCK_0096_sigma.fits
MOCK_0097,12,80,2.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0097_flux.fits,tools/simulation/mock_data\MOCK_0097_sigma.fits
MOCK_0098,12,80,2.5,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0098_flux.fits,tools/simulation/mock_data\MOCK_0098_sigma.fits
MOCK_0099,12,80,3.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0099_flux.fits,tools/simulation/mock_data\MOCK_0099_sigma.fits
MOCK_0100,12,90,1.0,45.0,0.2,tools/simulation/mock_data\MOCK_0100_flux.fits,tools/simulation/mock_data\MOCK_0100_sigma.fits
MOCK_0101,12,90,1.5,45.0,0.2,tools/simulation/mock_data\MOCK_0101_flux.fits,tools/simulation/mock_data\MOCK_0101_sigma.fits
MOCK_0102,12,90,2.0,45.0,0.2,tools/simulation/mock_data\MOCK_0102_flux.fits,tools/simulation/mock_data\MOCK_0102_sigma.fits
MOCK_0103,12,90,2.5,45.0,0.2,tools/simulation/mock_data\MOCK_0103_flux.fits,tools/simulation/mock_data\MOCK_0103_sigma.fits
MOCK_0104,12,90,3.0,45.0,0.2,tools/simulation/mock_data\MOCK_0104_flux.fits,tools/simulation/mock_data\MOCK_0104_sigma.fits
MOCK_0105,25,5,1.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0105_flux.fits,tools/simulation/mock_data\MOCK_0105_sigma.fits
MOCK_0106,25,5,1.5,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0106_flux.fits,tools/simulation/mock_data\MOCK_0106_sigma.fits
MOCK_0107,25,5,2.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0107_flux.fits,tools/simulation/mock_data\MOCK_0107_sigma.fits
MOCK_0108,25,5,2.5,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0108_flux.fits,tools/simulation/mock_data\MOCK_0108_sigma.fits
MOCK_0109,25,5,3.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0109_flux.fits,tools/simulation/mock_data\MOCK_0109_sigma.fits
MOCK_0110,25,15,1.0,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0110_flux.fits,tools/simulation/mock_data\MOCK_0110_sigma.fits
MOCK_0111,25,15,1.5,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0111_flux.fits,tools/simulation/mock_data\MOCK_0111_sigma.fits
MOCK_0112,25,15,2.0,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0112_flux.fits,tools/simulation/mock_data\MOCK_0112_sigma.fits
MOCK_0113,25,15,2.5,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0113_flux.fits,tools/simulation/mock_data\MOCK_0113_sigma.fits
MOCK_0114,25,15,3.0,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0114_flux.fits,tools/simulation/mock_data\MOCK_0114_sigma.fits
MOCK_0115,25,30,1.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0115_flux.fits,tools/simulation/mock_data\MOCK_0115_sigma.fits
MOCK_0116,25,30,1.5,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0116_flux.fits,tools/simulation/mock_data\MOCK_0116_sigma.fits
MOCK_0117,25,30,2.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0117_flux.fits,tools/simulation/mock_data\MOCK_0117_sigma.fits
MOCK_0118,25,30,2.5,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0118_flux.fits,tools/simulation/mock_data\MOCK_0118_sigma.fits
MOCK_0119,25,30,3.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0119_flux.fits,tools/simulation/mock_data\MOCK_0119_sigma.fits
MOCK_0120,25,45,1.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0120_flux.fits,tools/simulation/mock_data\MOCK_0120_sigma.fits
MOCK_0121,25,45,1.5,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0121_flux.fits,tools/simulation/mock_data\MOCK_0121_sigma.fits
MOCK_0122,25,45,2.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0122_flux.fits,tools/simulation/mock_data\MOCK_0122_sigma.fits
MOCK_0123,25,45,2.5,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0123_flux.fits,tools/simulation/mock_data\MOCK_0123_sigma.fits
MOCK_0124,25,45,3.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0124_flux.fits,tools/simulation/mock_data\MOCK_0124_sigma.fits
MOCK_0125,25,60,1.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0125_flux.fits,tools/simulation/mock_data\MOCK_0125_sigma.fits
MOCK_0126,25,60,1.5,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0126_flux.fits,tools/simulation/mock_data\MOCK_0126_sigma.fits
MOCK_0127,25,60,2.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0127_flux.fits,tools/simulation/mock_data\MOCK_0127_sigma.fits
MOCK_0128,25,60,2.5,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0128_flux.fits,tools/simulation/mock_data\MOCK_0128_sigma.fits
MOCK_0129,25,60,3.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0129_flux.fits,tools/simulation/mock_data\MOCK_0129_sigma.fits
MOCK_0130,25,80,1.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0130_flux.fits,tools/simulation/mock_data\MOCK_0130_sigma.fits
MOCK_0131,25,80,1.5,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0131_flux.fits,tools/simulation/mock_data\MOCK_0131_sigma.fits
MOCK_0132,25,80,2.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0132_flux.fits,tools/simulation/mock_data\MOCK_0132_sigma.fits
MOCK_0133,25,80,2.5,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0133_flux.fits,tools/simulation/mock_data\MOCK_0133_sigma.fits
MOCK_0134,25,80,3.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0134_flux.fits,tools/simulation/mock_data\MOCK_0134_sigma.fits
MOCK_0135,25,90,1.0,45.0,0.2,tools/simulation/mock_data\MOCK_0135_flux.fits,tools/simulation/mock_data\MOCK_0135_sigma.fits
MOCK_0136,25,90,1.5,45.0,0.2,tools/simulation/mock_data\MOCK_0136_flux.fits,tools/simulation/mock_data\MOCK_0136_sigma.fits
MOCK_0137,25,90,2.0,45.0,0.2,tools/simulation/mock_data\MOCK_0137_flux.fits,tools/simulation/mock_data\MOCK_0137_sigma.fits
MOCK_0138,25,90,2.5,45.0,0.2,tools/simulation/mock_data\MOCK_0138_flux.fits,tools/simulation/mock_data\MOCK_0138_sigma.fits
MOCK_0139,25,90,3.0,45.0,0.2,tools/simulation/mock_data\MOCK_0139_flux.fits,tools/simulation/mock_data\MOCK_0139_sigma.fits
